Collection,Category,Name,Variant Name,Price,In Stock,URL,id
2007 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2007 Menghai ""Silver Da Yi"" Raw Pu-erh Tea Cake",357 Gram Cake,155.00,No,https://yunnansourcing.com/products/2007-menghai-silver-da-yi-raw-pu-erh-tea-cake,30687468806
2007 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2007 Menghai ""Silver Da Yi"" Raw Pu-erh Tea Cake",25 Gram Sample,14.50,No,https://yunnansourcing.com/products/2007-menghai-silver-da-yi-raw-pu-erh-tea-cake,30687469062
2007 Menghai Tea Factory Teas,Raw Pu-erh Tea,2007 Menghai 0772 Raw Pu-erh Tea Cake,400 Gram Cake,46.00,Yes,https://yunnansourcing.com/products/2007-menghai-0772-raw-pu-erh-tea-cake,30688412422
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2007 Menghai Tea Factory ""7452"" Ripe Pu-erh Tea Cake",357 Gram Cake,65.00,Yes,https://yunnansourcing.com/products/2007-menghai-tea-factory-7452-ripe-pu-erh-tea-cake,30688179654
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2007 Menghai Tea Factory ""7452"" Ripe Pu-erh Tea Cake",25 Gram Sample,7.50,Yes,https://yunnansourcing.com/products/2007-menghai-tea-factory-7452-ripe-pu-erh-tea-cake,30688179718
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2007 Menghai Wei Zui Yan Ripe Pu-erh Tea Cake,357 Gram Cake,68.00,Yes,https://yunnansourcing.com/products/2007-menghai-wei-zui-yan-ripe-pu-erh-tea-cake,30687045574
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2007 Menghai Wei Zui Yan Ripe Pu-erh Tea Cake,25 Gram Sample,7.75,Yes,https://yunnansourcing.com/products/2007-menghai-wei-zui-yan-ripe-pu-erh-tea-cake,30687236166
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2007 Menghai Yue Chen Yue Xiang Ripe Pu-erh Tea Cake,25 Gram Sample,8.70,Yes,https://yunnansourcing.com/products/2007-menghai-yue-chen-yue-xiang-ripe-pu-erh-tea-cake,30686777926
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2007 Menghai Yue Chen Yue Xiang Ripe Pu-erh Tea Cake,400 Gram Cake,80.00,Yes,https://yunnansourcing.com/products/2007-menghai-yue-chen-yue-xiang-ripe-pu-erh-tea-cake,30686777990
2008 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2008 Hai Lang Hao ""Jing Mai Mountain"" Raw Pu-Erh Tea Brick",250 Gram Brick,56.00,Yes,https://yunnansourcing.com/products/2008-hai-lang-hao-jing-mai-mountain-raw-pu-erh-tea-brick,31463113798
2008 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2008 Hai Lang Hao ""Jing Mai Mountain"" Raw Pu-Erh Tea Brick",25 Gram Sample,8.00,Yes,https://yunnansourcing.com/products/2008-hai-lang-hao-jing-mai-mountain-raw-pu-erh-tea-brick,31463118342
2008 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2008 Hai Lang Hao ""Star of Bu Lang"" Raw Pu-Erh Tea Cake",357 Gram Cake,62.00,Yes,https://yunnansourcing.com/products/2008-hai-lang-hao-star-of-bu-lang-raw-pu-erh-tea-cake,31463094790
2008 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2008 Hai Lang Hao ""Star of Bu Lang"" Raw Pu-Erh Tea Cake",25 Gram Sample,7.25,No,https://yunnansourcing.com/products/2008-hai-lang-hao-star-of-bu-lang-raw-pu-erh-tea-cake,31463101062
2008 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2008 Menghai ""Classic"" Premium Raw Pu-Erh Tea Cake",357 Gram Cake,82.00,Yes,https://yunnansourcing.com/products/2008-menghai-classic-premium-raw-pu-erh-tea-cake,30690367046
2008 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2008 Menghai ""Classic"" Premium Raw Pu-Erh Tea Cake",25 Gram Sample,8.00,Yes,https://yunnansourcing.com/products/2008-menghai-classic-premium-raw-pu-erh-tea-cake,30690367110
2008 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2008 Menghai ""Yang Chun San Yue"" Raw Pu-erh Tea Cake",500 Gram Cake,84.00,No,https://yunnansourcing.com/products/2008-menghai-yang-chun-san-yue-raw-pu-erh-tea-cake,30689258630
2008 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2008 Menghai ""Yang Chun San Yue"" Raw Pu-erh Tea Cake",25 Gram Sample,7.00,No,https://yunnansourcing.com/products/2008-menghai-yang-chun-san-yue-raw-pu-erh-tea-cake,30689258694
2008 Menghai Tea Factory Teas,Ripe Pu-Erh Tea,2008 Menghai 7672 Ripe Pu-erh Tea Cake,357 Gram Cake,58.00,No,https://yunnansourcing.com/products/2008-menghai-7672-ripe-pu-erh-tea-cake,30689613574
2008 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2008 Menghai Qi Zi Zhi Ge Ripe Pu-erh Tea Cake,357 Gram Cake,85.00,Yes,https://yunnansourcing.com/products/2008-menghai-qi-zi-zhi-ge-ripe-pu-erh-tea-cake,30688727878
2008 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2008 Menghai Qi Zi Zhi Ge Ripe Pu-erh Tea Cake,25 Gram Sample,9.00,Yes,https://yunnansourcing.com/products/2008-menghai-qi-zi-zhi-ge-ripe-pu-erh-tea-cake,30688770054
2009 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2009 Hai Lang Hao ""Ban Zhang Gu Shu"" Raw Pu-erh Tea",10 Grams Sample,25.00,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-ban-zhang-gu-shu-raw-pu-erh-tea,29879263035495
2009 Hai Lang Hao Pu-erh Teas,Ripe Pu-Erh Tea,"2009 Hai Lang Hao ""Jin Hao Gong Bing"" Ripe Pu-erh Tea Cake",200 Gram Cake,40.00,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-jin-hao-gong-bing-ripe-pu-erh-tea,31486109638
2009 Hai Lang Hao Pu-erh Teas,Ripe Pu-Erh Tea,"2009 Hai Lang Hao ""Jin Hao Gong Bing"" Ripe Pu-erh Tea Cake",25 Gram Sample,7.50,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-jin-hao-gong-bing-ripe-pu-erh-tea,31486109702
2009 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2009 Hai Lang Hao ""Lao Ban Zhang Gu Shu"" Raw Pu-erh Tea",10 Grams Sample,34.00,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-lao-ban-zhang-gu-shu-raw-pu-erh-tea,29879250583655
2009 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2009 Hai Lang Hao ""Yi Wu Zheng Shan"" Raw Pu-erh Tea",400 Grams,130.00,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-yi-wu-zheng-shan-raw-pu-erh-tea,31486205702
2009 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2009 Hai Lang Hao ""Yi Wu Zheng Shan"" Raw Pu-erh Tea",25 Grams Sample,11.80,Yes,https://yunnansourcing.com/products/2009-hai-lang-hao-yi-wu-zheng-shan-raw-pu-erh-tea,31486205766
2009 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2009 Menghai ""Wei Zui Yan"" Raw Pu-erh Tea Cake",357 Gram Cake,80.00,Yes,https://yunnansourcing.com/products/2009-menghai-wei-zui-yan-raw-pu-erh-tea-cake,30787682310
2009 Menghai Tea Factory Teas,Raw Pu-erh Tea,"2009 Menghai ""Wei Zui Yan"" Raw Pu-erh Tea Cake",25 Grams Sample,8.65,Yes,https://yunnansourcing.com/products/2009-menghai-wei-zui-yan-raw-pu-erh-tea-cake,12115229212740
2009 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2009 Menghai 7562 Classic Ripe Pu-erh Brick Tea,250 Gram Brick,45.00,Yes,https://yunnansourcing.com/products/2009-menghai-7562-classic-ripe-pu-erh-brick-tea,30787478342
2009 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2009 Menghai Tea Factory * 7572 * Ripe Pu-erh Tea Cake,357 Gram Cake,63.00,No,https://yunnansourcing.com/products/2009-menghai-tea-factory-7572-ripe-pu-erh-tea-cake,30787829830
2009 Menghai Tea Factory Teas,Ripe Pu-erh Tea,2009 Menghai Tea Factory * 7572 * Ripe Pu-erh Tea Cake,25 Grams Sample,7.35,No,https://yunnansourcing.com/products/2009-menghai-tea-factory-7572-ripe-pu-erh-tea-cake,19545996623975
